stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20190610T031500,2019-06-10T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190610T031500.png
CAMHDA301-20190610T061500,2019-06-10T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190610T061500.png
CAMHDA301-20190610T091500,2019-06-10T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190610T091500.png
CAMHDA301-20190610T121500,2019-06-10T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190610T121500.png
CAMHDA301-20190610T151500,2019-06-10T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190610T151500.png
CAMHDA301-20190610T181500,2019-06-10T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190610T181500.png
CAMHDA301-20190610T211500,2019-06-10T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190610T211500.png
CAMHDA301-20190617T001500,2019-06-17T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190617T001500.png
CAMHDA301-20190617T031500,2019-06-17T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190617T031500.png
CAMHDA301-20190617T061500,2019-06-17T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190617T061500.png
CAMHDA301-20190617T091500,2019-06-17T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190617T091500.png
CAMHDA301-20190617T121500,2019-06-17T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190617T121500.png
CAMHDA301-20190617T151500,2019-06-17T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190617T151500.png
CAMHDA301-20190617T181500,2019-06-17T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190617T181500.png
