frame_id,date,model,ai_count,in_training
CAMHDA301-20221122T151500,2022-11-22,v2,7,False
CAMHDA301-20221122T181500,2022-11-22,v2,10,False
CAMHDA301-20221129T001500,2022-11-29,v2,10,False
CAMHDA301-20221129T031500,2022-11-29,v2,21,False
CAMHDA301-20221129T061500,2022-11-29,v2,21,False
CAMHDA301-20221129T091500,2022-11-29,v2,24,False
CAMHDA301-20221129T121500,2022-11-29,v2,17,False
CAMHDA301-20221129T151500,2022-11-29,v2,12,False
CAMHDA301-20221206T001500,2022-12-06,v2,19,False
CAMHDA301-20221206T031500,2022-12-06,v2,20,False
CAMHDA301-20221206T091500,2022-12-06,v2,15,False
CAMHDA301-20221206T121500,2022-12-06,v2,19,False
CAMHDA301-20221206T151500,2022-12-06,v2,11,False
CAMHDA301-20221206T181500,2022-12-06,v2,4,False
CAMHDA301-20221206T211500,2022-12-06,v2,14,False
CAMHDA301-20221213T001500,2022-12-13,v2,17,False
CAMHDA301-20221213T031500,2022-12-13,v2,21,False
CAMHDA301-20221213T061500,2022-12-13,v2,15,False
CAMHDA301-20221213T091500,2022-12-13,v2,15,False
CAMHDA301-20221213T121500,2022-12-13,v2,21,False
CAMHDA301-20221213T151500,2022-12-13,v2,23,False
CAMHDA301-20221213T181500,2022-12-13,v2,16,False
CAMHDA301-20221213T211500,2022-12-13,v2,16,False
CAMHDA301-20221220T031500,2022-12-20,v2,6,False
CAMHDA301-20221227T031500,2022-12-27,v2,23,False
CAMHDA301-20221227T061500,2022-12-27,v2,28,False
CAMHDA301-20221227T091500,2022-12-27,v2,21,False
CAMHDA301-20221227T121500,2022-12-27,v2,20,False
CAMHDA301-20221227T181500,2022-12-27,v2,21,False
CAMHDA301-20230110T031500,2023-01-10,v2,21,False
CAMHDA301-20230117T001500,2023-01-17,v2,1,False
CAMHDA301-20230117T091500,2023-01-17,v2,13,False
CAMHDA301-20230117T121500,2023-01-17,v2,14,False
CAMHDA301-20230117T151500,2023-01-17,v2,10,False
CAMHDA301-20230117T181500,2023-01-17,v2,8,False
CAMHDA301-20230124T031500,2023-01-24,v2,13,False
CAMHDA301-20230124T061500,2023-01-24,v2,20,False
CAMHDA301-20230124T151500,2023-01-24,v2,19,False
CAMHDA301-20230124T181500,2023-01-24,v2,5,False
CAMHDA301-20230124T211500,2023-01-24,v2,8,False
CAMHDA301-20230131T001500,2023-01-31,v2,17,False
CAMHDA301-20230131T031500,2023-01-31,v2,14,False
CAMHDA301-20230131T061500,2023-01-31,v2,12,False
CAMHDA301-20230131T091500,2023-01-31,v2,20,False
CAMHDA301-20230131T121500,2023-01-31,v2,12,False
CAMHDA301-20230131T151500,2023-01-31,v2,11,False
CAMHDA301-20230131T181500,2023-01-31,v2,8,False
CAMHDA301-20230131T211500,2023-01-31,v2,13,False
CAMHDA301-20230207T001500,2023-02-07,v2,15,False
CAMHDA301-20230207T031500,2023-02-07,v2,20,False
CAMHDA301-20230207T061500,2023-02-07,v2,15,False
CAMHDA301-20230207T091500,2023-02-07,v2,18,False
CAMHDA301-20230207T121500,2023-02-07,v2,15,False
CAMHDA301-20230207T151500,2023-02-07,v2,24,False
CAMHDA301-20230207T211500,2023-02-07,v2,12,False
CAMHDA301-20230214T001500,2023-02-14,v2,10,False
