ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2025-10,20251006T121500,8,0,162.7,213.7,234.2,57.73,36.68,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/06/CAMHDA301-20251006T121500.mp4
2025-10,20251012T031500,8,0,225.4,237.5,241.5,51.57,39.89,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/12/CAMHDA301-20251012T031500.mp4
2025-10,20251017T181500,8,0,110.4,182.5,188.0,60.55,35.10,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/17/CAMHDA301-20251017T181500.mp4
2025-10,20251015T001500,8,0,81.0,200.0,243.1,60.31,34.91,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/15/CAMHDA301-20251015T001500.mp4
2025-10,20251023T091500,8,0,95.1,208.0,212.2,62.90,34.16,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/23/CAMHDA301-20251023T091500.mp4
2025-10,20251026T061500,8,0,220.9,272.5,273.8,50.32,40.84,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/26/CAMHDA301-20251026T061500.mp4
2025-11,20251103T151500,8,0,143.4,176.6,202.0,60.69,34.80,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/03/CAMHDA301-20251103T151500.mp4
2025-11,20251101T001500,8,0,166.6,220.5,222.4,53.25,39.17,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/01/CAMHDA301-20251101T001500.mp4
2025-10,20251031T211500,8,0,210.5,225.8,233.1,51.91,39.67,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/31/CAMHDA301-20251031T211500.mp4
2025-10,20251029T001500,8,0,193.1,245.1,249.6,50.87,40.74,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/29/CAMHDA301-20251029T001500.mp4
2025-11,20251106T091500,8,0,180.1,223.1,224.0,53.69,39.32,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/06/CAMHDA301-20251106T091500.mp4
2025-11,20251109T031500,8,0,165.1,189.0,197.9,54.67,38.95,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/09/CAMHDA301-20251109T031500.mp4
2025-11,20251111T181500,8,0,157.8,191.5,193.2,64.75,34.42,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/11/CAMHDA301-20251111T181500.mp4
2025-11,20251114T121500,8,0,94.4,139.0,150.2,64.79,31.27,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/14/CAMHDA301-20251114T121500.mp4
2025-11,20251117T061500,8,0,120.6,174.5,175.1,56.07,37.70,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/17/CAMHDA301-20251117T061500.mp4
2025-11,20251120T001500,8,0,116.7,175.6,209.6,53.20,38.13,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/20/CAMHDA301-20251120T001500.mp4
2025-11,20251122T151500,8,0,179.2,209.9,220.4,52.79,39.18,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/22/CAMHDA301-20251122T151500.mp4
2025-11,20251125T091500,8,0,183.7,219.3,223.9,53.32,39.34,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/25/CAMHDA301-20251125T091500.mp4
2025-11,20251128T031500,8,0,147.8,183.1,188.3,58.47,35.56,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/28/CAMHDA301-20251128T031500.mp4
2025-11,20251130T211500,8,0,163.8,195.4,197.4,54.30,38.48,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/11/30/CAMHDA301-20251130T211500.mp4
2025-12,20251203T181500,8,0,117.9,149.6,152.6,63.94,32.42,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/03/CAMHDA301-20251203T181500.mp4
2025-12,20251201T001500,8,0,151.1,176.0,186.5,54.03,38.51,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/01/CAMHDA301-20251201T001500.mp4
2025-12,20251209T091500,8,0,125.1,178.0,185.9,55.72,37.76,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/09/CAMHDA301-20251209T091500.mp4
2025-12,20251206T121500,8,0,146.9,197.0,197.0,55.15,38.96,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/06/CAMHDA301-20251206T121500.mp4
2025-12,20251212T031500,8,0,113.7,177.5,177.6,58.61,36.67,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/12/CAMHDA301-20251212T031500.mp4
2025-12,20251215T001500,8,0,101.6,166.0,167.5,58.95,36.61,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/15/CAMHDA301-20251215T001500.mp4
2025-12,20251217T181500,8,0,122.0,145.8,164.4,63.53,32.14,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/17/CAMHDA301-20251217T181500.mp4
2025-12,20251220T151500,8,0,143.1,177.0,181.5,51.80,38.77,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/20/CAMHDA301-20251220T151500.mp4
2025-12,20251223T091500,8,0,128.6,172.3,174.9,54.73,39.01,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/23/CAMHDA301-20251223T091500.mp4
2025-12,20251226T061500,8,0,160.1,186.6,194.6,52.64,38.49,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/26/CAMHDA301-20251226T061500.mp4
2025-12,20251229T001500,8,0,101.7,150.2,154.8,58.70,36.23,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/29/CAMHDA301-20251229T001500.mp4
2026-01,20260103T181500,8,0,81.0,93.0,100.3,60.15,29.63,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2026/01/03/CAMHDA301-20260103T181500.mp4
2025-12,20251231T211500,8,0,141.4,174.4,178.1,54.55,37.81,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/12/31/CAMHDA301-20251231T211500.mp4
2026-01,20260101T001500,8,0,131.8,187.9,192.2,54.01,38.27,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2026/01/01/CAMHDA301-20260101T001500.mp4
2026-01,20260109T091500,8,0,102.0,133.8,133.9,57.51,34.96,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2026/01/09/CAMHDA301-20260109T091500.mp4
2026-01,20260106T121500,8,0,112.0,151.9,154.9,59.19,34.87,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2026/01/06/CAMHDA301-20260106T121500.mp4
